Title,Music_Composer,Genre
Barrister Parvateesarrn,Ilaiyaraaja,Comedy
Bhoja Kalidasu,Ilaiyaraaja,Mythology
Bhookailas,Ilaiyaraaja,Devotional
Bondam Pelli,Ilaiyaraaja,Comedy
Chaduvukunna Bharya,Ilaiyaraaja,Comedy
Chandika,Ilaiyaraaja,Adventure
Illalu,Ilaiyaraaja,Family
Jeevana Jyothi,Ilaiyaraaja,Drama
Kalachakram,Ilaiyaraaja,Drama
Mahiravana,Ilaiyaraaja,Mythology
Malathi Madhavam,Ilaiyaraaja,Folklore
Meerabai,Ilaiyaraaja,Devotional
Sumangali,Ilaiyaraaja,Social
Viswa Mohini,Ilaiyaraaja,Drama
Apavadu,Ilaiyaraaja,Drama
Bhaktimala,Ilaiyaraaja,Drama
Chandrahasa,Ilaiyaraaja,Folklore
Choodamani,Ilaiyaraaja,Drama
Dakshayagnam,Ilaiyaraaja,Mythology
Devatha,Ilaiyaraaja,Drama
Dharma Patni,Ilaiyaraaja,Drama
Mahatma Gandhi,Ilaiyaraaja,Social
Parvati Kalyanam,Ilaiyaraaja,Devotional
Talli Prema,Ilaiyaraaja,Drama
Tara Sasankam,Ilaiyaraaja,Mythology
Tarumaru,Ilaiyaraaja,Drama
Tenali Ramakrishna,Ilaiyaraaja,Folklore
Babruvahana,Ilaiyaraaja,Drama
Bala Nagamma,Ilaiyaraaja,Folklore
Bhakta Potana,Ilaiyaraaja,Biography
Bhakta Prahlada,Ilaiyaraaja,Mythology
Deena Bandhu,Ilaiyaraaja,Drama
Gharana Donga,Ilaiyaraaja,Drama
Jeevana Mukthi,Ilaiyaraaja,Devotional
Patni,Ilaiyaraaja,"Epic
"
Satyabhama,Ilaiyaraaja,Mythology
Satyame Jayam,Ilaiyaraaja,Drama
Shanta Bala Nagamma,Ilaiyaraaja,Folklore
Sumati,Ilaiyaraaja,Drama
Bhagyalakshmi,Ilaiyaraaja,Drama
Bhakta Kabiru,Ilaiyaraaja,Devotional
Chenchu Lakshmi,Ilaiyaraaja,Mythology
Garuda Garvabhangam,Ilaiyaraaja,Mythology
Krishna Leela,Ilaiyaraaja,"Romance
"
Krishna Prema,Ilaiyaraaja,Devotional
Panthulamma,Ilaiyaraaja,Drama
Pathi Bhakti,Ilaiyaraaja,Drama
